,County_Code,Policy_Effective_Year,Total_Policy_Insurance_Cost,Units_Per_Policy,Building_Limits_Purchased,Contents_Limits_Purchased,Policy_Insurance_Premium,Policy_Sold_Count
319,48179,2018,1258.3333333333333,9.0,1406100.0,580000.0,949.1111111111111,9
320,48179,2019,1246.142857142857,7.0,1266500.0,630000.0,919.1428571428571,7
321,48179,2020,1397.3333333333333,6.0,1256500.0,630000.0,1055.1666666666667,6
322,48179,2021,2085.6666666666665,3.0,631500.0,550000.0,1591.0,3
323,48181,2018,1144.8968105065667,533.0,97496900.0,30150300.0,875.5722326454033,533
324,48181,2019,1204.0484848484848,495.0,90547000.0,27765900.0,930.0444444444445,495
325,48181,2020,1459.53125,512.0,95125100.0,30155700.0,1125.166015625,512
326,48181,2021,1908.4132231404958,121.0,24128900.0,8009300.0,1492.6528925619834,121
327,48183,2018,1286.4128878281622,419.0,82918300.0,23634600.0,1006.9904534606205,419
328,48183,2019,1280.4768041237114,388.0,77860800.0,22352800.0,1002.4690721649484,388
329,48183,2020,1565.0994764397906,382.0,79404400.0,23203000.0,1231.9188481675392,382
330,48183,2021,1159.6521739130435,92.0,18013400.0,4766400.0,867.1195652173913,92
331,48185,2018,953.0602409638554,249.0,48090500.0,19455600.0,730.3333333333334,249
